SBA Disaster Loan Data,,,,,,,Report Run Date:  3/19/2019 ,,,,,,
15567,15568,4366,HI-00049,KEAAU,96749,HAWAII,HI,"38,048.00","38,048.00",0.00,0.00,0.00,0.00
15567,15568,4366,HI-00049,MOUNTAIN VIEW,96771,HAWAII,HI,"48,172.00","48,172.00",0.00,"39,900.00","39,900.00",0.00
15567,15568,4366,HI-00049,PAHOA,96749,HAWAII,HI,"25,755.00",0.00,"25,755.00",0.00,0.00,0.00
15567,15568,4366,HI-00049,PAHOA,96778,HAWAII,HI,"97,430,091.00","86,135,280.00","11,294,811.00","27,509,900.00","22,911,800.00","4,598,100.00"
15567,15568,4366,HI-00049,PEPEEKEO,96783,HAWAII,HI,"16,428.00","15,153.00","1,275.00","16,500.00","15,200.00","1,300.00"
15567,15568,4366,HI-00049,VOLCANO,96785,HAWAII,HI,"201,353.00","194,013.00","7,340.00","100,600.00","99,000.00","1,600.00"
15578,15579,4365,HI-00045,ANAHOLA,96703,KAUAI,HI,"437,391.00","305,914.00","131,477.00","83,500.00","69,100.00","14,400.00"
15578,15579,4365,HI-00045,HAENA,96714,KAUAI,HI,"65,978.00","40,978.00","25,000.00","54,500.00","29,500.00","25,000.00"
15578,15579,4365,HI-00045,HANALEI,96714,KAUAI,HI,"4,154,495.00","3,094,997.00","1,059,498.00","1,343,400.00","946,300.00","397,100.00"
15578,15579,4365,HI-00045,HONOLULU,96821,HONOLULU,HI,"8,376,604.00","6,459,859.00","1,916,745.00","2,055,300.00","1,369,400.00","685,900.00"
15578,15579,4365,HI-00045,HONOLULU,96821,KALAWAO,HI,"377,022.00","321,652.00","55,370.00",0.00,0.00,0.00
15578,15579,4365,HI-00045,HONOLULU,96825,HONOLULU,HI,"145,704.00","117,544.00","28,160.00","145,300.00","117,000.00","28,300.00"
15578,15579,4365,HI-00045,KAILUA,96734,HONOLULU,HI,"68,546.00","67,096.00","1,450.00","33,900.00","33,900.00",0.00
15578,15579,4365,HI-00045,KAMUELA,96743,HONOLULU,HI,"108,659.00","102,409.00","6,250.00","107,500.00","101,200.00","6,300.00"
15578,15579,4365,HI-00045,KAPAA,96746,KAUAI,HI,"769,236.00","563,551.00","205,685.00","407,800.00","339,400.00","68,400.00"
15578,15579,4365,HI-00045,KILAUEA,96754,KAUAI,HI,"254,822.00","195,202.00","59,620.00","217,000.00","195,200.00","21,800.00"
15578,15579,4365,HI-00045,KOLOA,96756,KAUAI,HI,"527,320.00","353,235.00","174,085.00","302,600.00","214,600.00","88,000.00"
15578,15579,4365,HI-00045,LAWAI,96765,KAUAI,HI,"15,506.00","11,696.00","3,810.00","15,600.00","11,700.00","3,900.00"
15578,15579,4365,HI-00045,PRINCEVILLE,96722,KAUAI,HI,"50,921.00","50,921.00",0.00,0.00,0.00,0.00
15578,15579,4365,HI-00045,WAIMANALO,96795,HONOLULU,HI,"142,301.00","92,976.00","49,325.00","125,100.00","75,700.00","49,400.00"
15696,15697,4393,NC-00099, BUNNLEVEL,28323,HARNETT,NC,"19,065.00","19,065.00",0.00,"19,100.00","19,100.00",0.00
15696,15697,4393,NC-00099,ABERDEEN,28315,HOKE,NC,"172,203.00","155,143.00","17,060.00","57,800.00","57,300.00",500.00
15696,15697,4393,NC-00099,ABERDEEN,28315,MOORE,NC,"56,074.00","56,074.00",0.00,"53,900.00","53,900.00",0.00
15696,15697,4393,NC-00099,ALBERTSON,28508,DUPLIN,NC,"292,197.00","222,507.00","69,690.00","237,500.00","187,000.00","50,500.00"
15696,15697,4393,NC-00099,ALLIANCE,28509,PAMLICO,NC,"36,077.00","35,482.00",595.00,"19,000.00","19,000.00",0.00
15696,15697,4393,NC-00099,ANGIER,27501,HARNETT,NC,"16,415.00","16,415.00",0.00,0.00,0.00,0.00
15696,15697,4393,NC-00099,ANGIER,27501,JOHNSTON,NC,"71,017.00","62,817.00","8,200.00","51,900.00","43,700.00","8,200.00"
15696,15697,4393,NC-00099,ANSONVILLE,28170,ANSON,NC,"2,655.00",0.00,"2,655.00","2,700.00",0.00,"2,700.00"
15696,15697,4393,NC-00099,APEX,27523,CHATHAM,NC,"8,565.00","8,565.00",0.00,"8,600.00","8,600.00",0.00
15696,15697,4393,NC-00099,ARAPAHOE,28510,PAMLICO,NC,"1,992,280.00","1,601,175.00","391,105.00","1,048,100.00","808,000.00","240,100.00"
15696,15697,4393,NC-00099,ASH,28420,BRUNSWICK,NC,"1,368,393.00","1,045,243.00","323,150.00","538,100.00","340,100.00","198,000.00"
15696,15697,4393,NC-00099,ATKINSON,28421,PENDER,NC,"1,652,915.00","1,241,096.00","411,819.00","1,068,300.00","784,400.00","283,900.00"
15696,15697,4393,NC-00099,ATLANTIC,28511,CARTERET,NC,"138,333.00","124,673.00","13,660.00","111,400.00","97,700.00","13,700.00"
15696,15697,4393,NC-00099,ATLANTIC BCH,28512,CARTERET,NC,"49,411.00","36,251.00","13,160.00","24,100.00","17,200.00","6,900.00"
15696,15697,4393,NC-00099,ATLANTIC BEACH,28512,CARTERET,NC,"2,103,663.00","1,573,883.00","529,780.00","1,210,700.00","890,500.00","320,200.00"
15696,15697,4393,NC-00099,AURORA,27806,BEAUFORT,NC,"1,010,208.00","807,493.00","202,715.00","420,500.00","346,200.00","74,300.00"
15696,15697,4393,NC-00099,AUTRYVILLE,28318,BLADEN,NC,"49,299.00","35,039.00","14,260.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,AUTRYVILLE,28318,CUMBERLAND,NC,"13,261.00","13,261.00",0.00,"2,700.00","2,700.00",0.00
15696,15697,4393,NC-00099,AUTRYVILLE,28318,SAMPSON,NC,"129,078.00","125,378.00","3,700.00","107,400.00","105,200.00","2,200.00"
15696,15697,4393,NC-00099,AYDEN,28513,PITT,NC,"112,722.00","92,472.00","20,250.00","105,800.00","85,600.00","20,200.00"
15696,15697,4393,NC-00099,BALD HEAD ISLAND,28461,BRUNSWICK,NC,"671,539.00","506,589.00","164,950.00","585,400.00","451,100.00","134,300.00"
15696,15697,4393,NC-00099,BATH,27808,BEAUFORT,NC,"367,720.00","324,235.00","43,485.00","123,100.00","100,300.00","22,800.00"
15696,15697,4393,NC-00099,BAYBORO,28515,PAMLICO,NC,"1,074,470.00","855,355.00","219,115.00","482,200.00","379,500.00","102,700.00"
15696,15697,4393,NC-00099,BEAUFORT,28516,BEAUFORT,NC,"79,337.00","71,937.00","7,400.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BEAUFORT,28516,CARTERET,NC,"10,869,530.00","8,679,784.00","2,189,746.00","5,650,700.00","4,531,400.00","1,119,300.00"
15696,15697,4393,NC-00099,BELHAVEN,27810,BEAUFORT,NC,"845,348.00","666,518.00","178,830.00","435,500.00","338,800.00","96,700.00"
15696,15697,4393,NC-00099,BELVILLE,28451,BRUNSWICK,NC,"383,163.00","295,119.00","88,044.00","272,000.00","235,500.00","36,500.00"
15696,15697,4393,NC-00099,BENNETT,27208,CHATHAM,NC,"14,400.00","14,400.00",0.00,0.00,0.00,0.00
15696,15697,4393,NC-00099,BENSON,27504,HARNETT,NC,"78,507.00","78,507.00",0.00,"76,800.00","76,800.00",0.00
15696,15697,4393,NC-00099,BENSON,27504,JOHNSTON,NC,"183,505.00","179,550.00","3,955.00","122,500.00","118,900.00","3,600.00"
15696,15697,4393,NC-00099,BEULAVILLE,28518,DUPLIN,NC,"3,905,618.00","2,905,163.00","1,000,455.00","1,494,400.00","1,160,400.00","334,000.00"
15696,15697,4393,NC-00099,BEULAVILLE,28518,ONSLOW,NC,"524,415.00","428,070.00","96,345.00","342,300.00","294,100.00","48,200.00"
15696,15697,4393,NC-00099,BLACK CREEK,27813,WILSON,NC,"16,298.00","14,298.00","2,000.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BLADENBORO,28320,BLADEN,NC,"1,432,713.00","1,142,767.00","289,946.00","598,300.00","482,200.00","116,100.00"
15696,15697,4393,NC-00099,BLADENBORO,28320,COLUMBUS,NC,"45,478.00","38,738.00","6,740.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BLNG SPG LKS,28461,BRUNSWICK,NC,"43,025.00","21,030.00","21,995.00","42,000.00","21,100.00","20,900.00"
15696,15697,4393,NC-00099,BLOUNTS CREEK,27814,BEAUFORT,NC,"228,313.00","151,493.00","76,820.00","162,100.00","118,100.00","44,000.00"
15696,15697,4393,NC-00099,BOGUE,28570,CARTERET,NC,"114,777.00","109,077.00","5,700.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BOILING SPRING LAKES,28461,BRUNSWICK,NC,"619,748.00","568,898.00","50,850.00","472,600.00","426,800.00","45,800.00"
15696,15697,4393,NC-00099,BOILING SPRINGS LAKE,28461,BRUNSWICK,NC,"56,483.00","49,258.00","7,225.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BOILING SPRINGS LAKES,28461,BRUNSWICK,NC,"26,839.00","11,324.00","15,515.00","22,900.00","7,300.00","15,600.00"
15696,15697,4393,NC-00099,BOLIVIA,28422,BRUNSWICK,NC,"4,154,877.00","3,186,897.00","967,980.00","1,957,000.00","1,441,500.00","515,500.00"
15696,15697,4393,NC-00099,BOLTON,28423,BLADEN,NC,"98,042.00","93,292.00","4,750.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,BOLTON,28423,COLUMBUS,NC,"1,270,178.00","1,003,889.00","266,289.00","743,400.00","600,100.00","143,300.00"
15696,15697,4393,NC-00099,BRIDGETON,28519,CRAVEN,NC,"1,624,224.00","1,116,469.00","507,755.00","513,800.00","294,100.00","219,700.00"
15696,15697,4393,NC-00099,BROADWAY,27505,HARNETT,NC,"126,599.00","124,989.00","1,610.00","42,100.00","40,600.00","1,500.00"
15696,15697,4393,NC-00099,BROWNS SUMMIT,27214,GUILFORD,NC,"26,959.00","22,409.00","4,550.00","22,200.00","17,600.00","4,600.00"
15696,15697,4393,NC-00099,BUNNLEVEL,28323,HARNETT,NC,"309,199.00","258,474.00","50,725.00","272,200.00","222,300.00","49,900.00"
15696,15697,4393,NC-00099,BURGAW,28425,PENDER,NC,"28,152,512.00","20,600,477.00","7,552,035.00","14,636,400.00","10,711,900.00","3,924,500.00"
15696,15697,4393,NC-00099,CALABASH,28467,BRUNSWICK,NC,"459,259.00","401,789.00","57,470.00","212,600.00","192,200.00","19,100.00"
15696,15697,4393,NC-00099,CAMERON,28326,HARNETT,NC,"250,589.00","230,849.00","19,740.00","173,500.00","159,800.00","13,700.00"
15696,15697,4393,NC-00099,CAMERON,28326,MOORE,NC,"102,807.00","74,477.00","28,330.00","59,100.00","46,700.00","12,400.00"
15696,15697,4393,NC-00099,CAMP LEJEUNE,28542,ONSLOW,NC,"8,200.00",0.00,"8,200.00","8,200.00",0.00,"8,200.00"
15696,15697,4393,NC-00099,CAMP LEJEUNE,28547,ONSLOW,NC,"77,318.00",0.00,"77,318.00","66,800.00",0.00,"66,800.00"
15696,15697,4393,NC-00099,CAPE CARTERET,28584,CARTERET,NC,"3,566,428.00","2,739,683.00","826,745.00","2,311,600.00","1,725,000.00","586,600.00"
15696,15697,4393,NC-00099,CAROLINA BEACH,28428,NEW HANOVER,NC,"2,060,846.00","1,532,893.00","527,953.00","1,178,300.00","827,300.00","351,000.00"
15696,15697,4393,NC-00099,CAROLINA SHORES,28467,BRUNSWICK,NC,"73,078.00","69,578.00","3,500.00","55,000.00","51,500.00","3,500.00"
15696,15697,4393,NC-00099,CARRBORO,27510,ORANGE,NC,"80,565.00","40,865.00","39,700.00","39,700.00",0.00,"39,700.00"
15696,15697,4393,NC-00099,CARTHAGE,28327,MOORE,NC,"277,581.00","254,181.00","23,400.00","134,800.00","126,400.00","8,400.00"
15696,15697,4393,NC-00099,CASTLE HAYNE,28429,NEW HANOVER,NC,"6,008,760.00","4,706,955.00","1,301,805.00","2,986,300.00","2,332,300.00","654,000.00"
15696,15697,4393,NC-00099,CEDAR GROVE,27231,ORANGE,NC,"52,671.00","49,721.00","2,950.00","35,700.00","32,700.00","3,000.00"
15696,15697,4393,NC-00099,CEDAR ISLAND,28520,CARTERET,NC,"195,316.00","153,541.00","41,775.00","91,400.00","68,600.00","22,800.00"
15696,15697,4393,NC-00099,CEDAR POINT,28584,CARTERET,NC,"1,380,439.00","1,103,679.00","276,760.00","891,200.00","698,500.00","192,700.00"
15696,15697,4393,NC-00099,CERRO GORDO,28430,COLUMBUS,NC,"129,382.00","126,722.00","2,660.00","66,600.00","66,600.00",0.00
15696,15697,4393,NC-00099,CHADBOURN,28431,COLUMBUS,NC,"735,122.00","583,492.00","151,630.00","396,700.00","288,300.00","108,400.00"
15696,15697,4393,NC-00099,CHAPEL HILL,27514,ORANGE,NC,"128,596.00","40,646.00","87,950.00","47,400.00",0.00,"47,400.00"
15696,15697,4393,NC-00099,CHAPEL HILL,27516,ONSLOW,NC,"24,935.00","22,935.00","2,000.00","25,000.00","23,000.00","2,000.00"
15696,15697,4393,NC-00099,CHAPEL HILL,27516,ORANGE,NC,"50,887.00","42,512.00","8,375.00","41,300.00","32,900.00","8,400.00"
15696,15697,4393,NC-00099,CHAPEL HILL,27517,CHATHAM,NC,"5,686.00","5,686.00",0.00,"5,000.00","5,000.00",0.00
15696,15697,4393,NC-00099,CHAPEL HILL,27517,ORANGE,NC,"33,115.00","33,115.00",0.00,"30,600.00","30,600.00",0.00
15696,15697,4393,NC-00099,CHARLOTTE,28254,PENDER,NC,"15,884.00","15,884.00",0.00,0.00,0.00,0.00
15696,15697,4393,NC-00099,CHINQUAPIN,28521,DUPLIN,NC,"1,406,359.00","945,712.00","460,647.00","942,300.00","630,700.00","311,600.00"
15696,15697,4393,NC-00099,CHOCOWINITY,27817,BEAUFORT,NC,"811,836.00","677,991.00","133,845.00","428,400.00","366,700.00","61,700.00"
15696,15697,4393,NC-00099,CLARENDON,28432,COLUMBUS,NC,"53,186.00","42,506.00","10,680.00","42,500.00","31,800.00","10,700.00"
15696,15697,4393,NC-00099,CLARKTON,28433,BLADEN,NC,"1,083,648.00","844,443.00","239,205.00","523,700.00","386,600.00","137,100.00"
15696,15697,4393,NC-00099,CLARKTON,28433,COLUMBUS,NC,"462,405.00","404,054.00","58,351.00","334,100.00","313,200.00","20,900.00"
15696,15697,4393,NC-00099,CLARKTON,28456,BLADEN,NC,"56,714.00","45,044.00","11,670.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,CLAYTON,27520,JOHNSTON,NC,"88,210.00","86,210.00","2,000.00","26,500.00","24,500.00","2,000.00"
15696,15697,4393,NC-00099,CLINTON,28328,CUMBERLAND,NC,"18,072.00","14,072.00","4,000.00","17,100.00","13,100.00","4,000.00"
15696,15697,4393,NC-00099,CLINTON,28328,SAMPSON,NC,"1,973,287.00","1,510,248.00","463,039.00","1,038,800.00","791,100.00","247,700.00"
15696,15697,4393,NC-00099,COATS,27521,HARNETT,NC,"42,873.00","35,323.00","7,550.00","43,000.00","35,400.00","7,600.00"
15696,15697,4393,NC-00099,COLFAX,27235,GUILFORD,NC,"105,021.00","81,421.00","23,600.00","87,400.00","63,800.00","23,600.00"
15696,15697,4393,NC-00099,CORDOVA,28330,RICHMOND,NC,"18,112.00","13,012.00","5,100.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,COUNCIL,28434,BLADEN,NC,"472,782.00","417,609.00","55,173.00","283,400.00","237,900.00","45,500.00"
15696,15697,4393,NC-00099,COVE CITY,28523,CRAVEN,NC,"447,011.00","431,711.00","15,300.00","205,900.00","197,500.00","8,400.00"
15696,15697,4393,NC-00099,CURRIE,28435,BLADEN,NC,"20,567.00","19,367.00","1,200.00","20,600.00","19,400.00","1,200.00"
15696,15697,4393,NC-00099,CURRIE,28435,PENDER,NC,"5,387,589.00","4,082,719.00","1,304,870.00","2,188,300.00","1,722,400.00","447,900.00"
15696,15697,4393,NC-00099,DAVIS,28524,CARTERET,NC,"1,195,050.00","975,630.00","219,420.00","801,600.00","599,700.00","201,900.00"
15696,15697,4393,NC-00099,DEEP RUN,28525,LENOIR,NC,"107,257.00","106,587.00",670.00,"72,300.00","71,600.00",700.00
15696,15697,4393,NC-00099,DELCO,28436,COLUMBUS,NC,"1,761,693.00","1,366,648.00","395,045.00","720,100.00","526,800.00","193,300.00"
15696,15697,4393,NC-00099,DOVER,28526,CRAVEN,NC,"173,258.00","156,448.00","16,810.00","124,100.00","107,600.00","16,500.00"
15696,15697,4393,NC-00099,DOVER,28526,JONES,NC,"128,169.00","105,829.00","22,340.00","51,100.00","35,200.00","15,900.00"
15696,15697,4393,NC-00099,DOVER,28526,LENOIR,NC,"41,119.00","36,119.00","5,000.00","17,400.00","12,400.00","5,000.00"
15696,15697,4393,NC-00099,DUBLIN,28332,BLADEN,NC,"103,932.00","94,582.00","9,350.00","66,400.00","57,500.00","8,900.00"
15696,15697,4393,NC-00099,DUDLEY,28333,WAYNE,NC,"731,448.00","576,808.00","154,640.00","472,400.00","360,800.00","111,600.00"
15696,15697,4393,NC-00099,DUNN,28334,CUMBERLAND,NC,"14,952.00","14,952.00",0.00,"14,700.00","14,700.00",0.00
15696,15697,4393,NC-00099,DUNN,28334,HARNETT,NC,"853,005.00","726,024.00","126,981.00","592,400.00","492,100.00","100,300.00"
15696,15697,4393,NC-00099,DUNN,28334,JOHNSTON,NC,"69,713.00","69,213.00",500.00,0.00,0.00,0.00
15696,15697,4393,NC-00099,DUNN,28334,SAMPSON,NC,"153,718.00","143,558.00","10,160.00","106,800.00","97,000.00","9,800.00"
15696,15697,4393,NC-00099,DURHAM,27701,DURHAM,NC,"48,886.00","36,186.00","12,700.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,DURHAM,27703,DURHAM,NC,"96,389.00","89,669.00","6,720.00","77,700.00","70,900.00","6,800.00"
15696,15697,4393,NC-00099,DURHAM,27704,DURHAM,NC,"51,860.00","34,565.00","17,295.00","49,300.00","34,700.00","14,600.00"
15696,15697,4393,NC-00099,DURHAM,27705,DURHAM,NC,"51,687.00","37,187.00","14,500.00","27,400.00","15,300.00","12,100.00"
15696,15697,4393,NC-00099,DURHAM,27707,DURHAM,NC,"140,698.00","132,998.00","7,700.00","124,500.00","116,800.00","7,700.00"
15696,15697,4393,NC-00099,DURHAM,27712,DURHAM,NC,"52,469.00","52,469.00",0.00,"47,000.00","47,000.00",0.00
15696,15697,4393,NC-00099,DURHAM,27713,ROBESON,NC,"15,960.00","15,760.00",200.00,"13,900.00","13,700.00",200.00
15696,15697,4393,NC-00099,EAGLE SPRINGS,27242,MOORE,NC,"12,250.00",0.00,"12,250.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,EAST FAYETTEVILLE,28301,CUMBERLAND,NC,"8,720.00",0.00,"8,720.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,EASTOVER,28312,CUMBERLAND,NC,"219,502.00","159,992.00","59,510.00","90,200.00","74,600.00","15,600.00"
15696,15697,4393,NC-00099,EDWARD,27821,BEAUFORT,NC,"91,902.00","69,802.00","22,100.00","70,000.00","47,900.00","22,100.00"
15696,15697,4393,NC-00099,EFLAND,27243,ORANGE,NC,"25,185.00",0.00,"25,185.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,ELIZABETHTOWN,28337,BLADEN,NC,"982,791.00","726,678.00","256,113.00","271,300.00","224,700.00","46,600.00"
15696,15697,4393,NC-00099,ELLERBE,28338,RICHMOND,NC,"15,831.00","13,471.00","2,360.00","6,200.00","5,600.00",600.00
15696,15697,4393,NC-00099,ELM CITY,27822,WILSON,NC,"50,304.00","50,304.00",0.00,"38,600.00","38,600.00",0.00
15696,15697,4393,NC-00099,EMERALD ISLE,28594,CARTERET,NC,"3,354,488.00","2,629,616.00","724,872.00","2,013,600.00","1,584,100.00","429,500.00"
15696,15697,4393,NC-00099,ENGELHARD,27824,HYDE,NC,"89,032.00","78,577.00","10,455.00","11,200.00","9,300.00","1,900.00"
15696,15697,4393,NC-00099,ERNUL,28527,CRAVEN,NC,"126,123.00","115,973.00","10,150.00","12,300.00","7,900.00","4,400.00"
15696,15697,4393,NC-00099,ERWIN,28339,HARNETT,NC,"468,211.00","391,796.00","76,415.00","339,900.00","270,400.00","69,500.00"
15696,15697,4393,NC-00099,EVERGREEN,28438,BLADEN,NC,"46,328.00","35,128.00","11,200.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,EVERGREEN,28438,COLUMBUS,NC,"188,431.00","183,106.00","5,325.00","32,200.00","30,600.00","1,600.00"
15696,15697,4393,NC-00099,FAIR BLUFF,28439,COLUMBUS,NC,"251,042.00","189,592.00","61,450.00","130,200.00","94,400.00","35,800.00"
15696,15697,4393,NC-00099,FAIRFIELD,27826,HYDE,NC,"34,331.00","30,631.00","3,700.00","19,000.00","16,700.00","2,300.00"
15696,15697,4393,NC-00099,FAIRMONT,28340,ROBESON,NC,"753,567.00","613,852.00","139,715.00","344,000.00","294,500.00","49,500.00"
15696,15697,4393,NC-00099,FAISON,28341,DUPLIN,NC,"385,216.00","313,411.00","71,805.00","151,300.00","120,200.00","31,100.00"
15696,15697,4393,NC-00099,FAISON,28341,SAMPSON,NC,"186,462.00","139,512.00","46,950.00","168,600.00","131,900.00","36,700.00"
15696,15697,4393,NC-00099,FARMVILLE,27828,PITT,NC,"34,588.00","22,988.00","11,600.00","25,000.00","19,600.00","5,400.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28301,CUMBERLAND,NC,"841,751.00","677,475.00","164,276.00","417,100.00","349,000.00","65,600.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28303,CUMBERLAND,NC,"798,026.00","683,599.00","114,427.00","425,000.00","387,500.00","37,500.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28304,CUMBERLAND,NC,"1,178,220.00","1,022,799.00","155,421.00","642,000.00","531,600.00","110,400.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28305,CUMBERLAND,NC,"212,154.00","118,459.00","93,695.00","60,700.00","36,000.00","24,700.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28306,CUMBERLAND,NC,"1,436,147.00","1,189,494.00","246,653.00","768,700.00","641,800.00","126,900.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28306,HOKE,NC,"19,704.00","19,704.00",0.00,"19,800.00","19,800.00",0.00
15696,15697,4393,NC-00099,FAYETTEVILLE,28311,COLUMBUS,NC,"20,367.00","19,867.00",500.00,"19,800.00","19,300.00",500.00
15696,15697,4393,NC-00099,FAYETTEVILLE,28311,CUMBERLAND,NC,"1,297,716.00","1,044,922.00","252,794.00","673,200.00","577,400.00","95,800.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28312,BLADEN,NC,"23,560.00","23,060.00",500.00,"23,600.00","23,100.00",500.00
15696,15697,4393,NC-00099,FAYETTEVILLE,28312,CUMBERLAND,NC,"1,631,606.00","1,211,011.00","420,595.00","704,400.00","509,800.00","194,600.00"
15696,15697,4393,NC-00099,FAYETTEVILLE,28314,CUMBERLAND,NC,"1,911,776.00","1,529,435.00","382,341.00","1,068,900.00","840,500.00","228,400.00"
15696,15697,4393,NC-00099,FORT BRAGG,28307,CUMBERLAND,NC,"7,550.00",0.00,"7,550.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,FORT BRAGG,28310,CUMBERLAND,NC,"13,400.00",0.00,"13,400.00","2,600.00",0.00,"2,600.00"
15696,15697,4393,NC-00099,FOUR OAKS,27524,JOHNSTON,NC,"253,122.00","234,987.00","18,135.00","95,400.00","83,600.00","11,800.00"
15696,15697,4393,NC-00099,FREMONT,27830,WAYNE,NC,"80,826.00","75,371.00","5,455.00","68,200.00","62,600.00","5,600.00"
15696,15697,4393,NC-00099,FUQUAY VARINA,27526,HARNETT,NC,"109,633.00","86,733.00","22,900.00","62,900.00","54,400.00","8,500.00"
15696,15697,4393,NC-00099,GARLAND,28441,BLADEN,NC,"180,071.00","148,821.00","31,250.00","56,200.00","49,300.00","6,900.00"
15696,15697,4393,NC-00099,GARLAND,28441,SAMPSON,NC,"686,704.00","557,679.00","129,025.00","477,500.00","398,600.00","78,900.00"
15696,15697,4393,NC-00099,GIBSON,28343,SCOTLAND,NC,"298,270.00","258,370.00","39,900.00","236,300.00","199,800.00","36,500.00"
15696,15697,4393,NC-00099,GLOUCESTER,28528,CARTERET,NC,"466,899.00","362,449.00","104,450.00","82,000.00","57,900.00","24,100.00"
15696,15697,4393,NC-00099,GODWIN,28344,CUMBERLAND,NC,"146,919.00","146,044.00",875.00,"27,500.00","27,500.00",0.00
15696,15697,4393,NC-00099,GODWIN,28344,SAMPSON,NC,"8,689.00","8,689.00",0.00,0.00,0.00,0.00
15696,15697,4393,NC-00099,GOLDSBORO,27530,WAYNE,NC,"1,643,261.00","1,461,341.00","181,920.00","1,078,700.00","972,200.00","106,500.00"
15696,15697,4393,NC-00099,GOLDSBORO,27534,WAYNE,NC,"517,207.00","422,342.00","94,865.00","346,300.00","272,900.00","73,400.00"
15696,15697,4393,NC-00099,GRANTSBORO,28529,PAMLICO,NC,"1,687,890.00","1,296,317.00","391,573.00","825,900.00","656,300.00","169,600.00"
15696,15697,4393,NC-00099,GREENSBORO,27401,GUILFORD,NC,"27,474.00","25,974.00","1,500.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,GREENSBORO,27403,GUILFORD,NC,"49,045.00","40,895.00","8,150.00",0.00,0.00,0.00
15696,15697,4393,NC-00099,GREENSBORO,27405,GUILFORD,NC,"43,939.00","37,089.00","6,850.00","13,500.00","13,500.00",0.00
15696,15697,4393,NC-00099,GREENSBORO,27406,GUILFORD,NC,"63,016.00","57,586.00","5,430.00","7,900.00","7,900.00",0.00
15696,15697,4393,NC-00099,GREENSBORO,27407,GUILFORD,NC,"63,803.00","52,103.00","11,700.00","33,200.00","33,200.00",0.00
15696,15697,4393,NC-00099,GREENSBORO,27408,GUILFORD,NC,"13,812.00","13,812.00",0.00,"11,000.00","11,000.00",0.00
15696,15697,4393,NC-00099,GREENSBORO,27410,GUILFORD,NC,"55,689.00","37,209.00","18,480.00","54,300.00","35,800.00","18,500.00"
15696,15697,4393,NC-00099,GREENVILLE,27834,PITT,NC,"213,118.00","162,583.00","50,535.00","96,400.00","81,300.00","15,100.00"
15696,15697,4393,NC-00099,GREENVILLE,27858,PITT,NC,"320,023.00","246,348.00","73,675.00","185,900.00","137,600.00","48,300.00"
15696,15697,4393,NC-00099,GRIFTON,28530,CRAVEN,NC,"78,589.00","70,769.00","7,820.00","67,100.00","60,400.00","6,700.00"
15696,15697,4393,NC-00099,GRIFTON,28530,LENOIR,NC,"138,332.00","99,680.00","38,652.00","109,900.00","88,400.00","21,500.00"
15696,15697,4393,NC-00099,GRIFTON,28530,PITT,NC,"195,394.00","176,274.00","19,120.00","121,400.00","105,600.00","15,800.00"
15696,15697,4393,NC-00099,GRIMESLAND,27837,PITT,NC,"45,279.00","37,189.00","8,090.00","38,600.00","37,200.00","1,400.00"
15696,15697,4393,NC-00099,GULF,27256,CHATHAM,NC,"24,050.00",0.00,"24,050.00","24,100.00",0.00,"24,100.00"
15696,15697,4393,NC-00099,HALLSBORO,28442,COLUMBUS,NC,"577,901.00","449,306.00","128,595.00","292,600.00","212,200.00","80,400.00"
15696,15697,4393,NC-00099,HAMLET,28345,RICHMOND,NC,"461,819.00","437,654.00","24,165.00","283,200.00","263,200.00","20,000.00"
15696,15697,4393,NC-00099,HAMLET,28345,SCOTLAND,NC,"57,238.00","51,338.00","5,900.00","57,300.00","51,400.00","5,900.00"
15696,15697,4393,NC-00099,HAMPSTEAD,28443,PENDER,NC,"14,225,400.00","11,109,993.00","3,115,407.00","8,080,400.00","6,238,500.00","1,841,900.00"
15696,15697,4393,NC-00099,HARKERS ISLAND,28531,CARTERET,NC,"1,502,357.00","1,227,032.00","275,325.00","857,100.00","689,300.00","167,800.00"
